"jsonld_key","html_template_variable","section"
"name","datasetname","dataset"
"description","datasetdescription","dataset"
"version","datasetversion","dataset"
"encodingFormat","datasetencodingFormat","dataset"
"dateCreated;@value","datasetdateCreated","dataset"
"datePublished;@value","datasetdatePublished","dataset"
"license","datasetlicense","dataset"
"url","dataseturl","dataset"
"inLanguage;name","datasetinLanguage","dataset"
"temporal","datasettemporal","dataset"
"temporalCoverage","datasettemporalCoverage","dataset"
"keywords","datasetkeywords","dataset"
"creator;image","authorimage","author"
"creator;name","authorname","author"
"creator;jobTitle","authorjobTitle","author"
"creator;email","authoremail","author"
"creator;affiliation;name","affiliationname","author"
"creator;affiliation;url;@value","affiliationurl","author"
"creator;affiliation;logo;contentUrl","organizationimageurl","author"
"contributor","contributorlist","contributor"
"publisher;logo;contentUrl","publisherorganizationlogo","publisher"
"publisher;name","publisherorganizationname","publisher"
"publisher;url;@value","publisherorganizationurl","publisher"
"publisher;name","publisherpersonname","publisher"
"publisher;jobTitle","publisherpersonjobTitle","publisher"
"publisher;email","publisheremail","publisher"
"publisher;image","publisherimage","publisher"
"publisher;affiliation;name","publisherpersonaffiliationname","publisher"
"publisher;affiliation;url;@value","publisherpersonaffiliationurl","publisher"
"publisher;affiliation;logo;contentUrl","publisherpersonaffiliationimage","publisher"
"distribution;contentUrl;@value","downloadurl","download"
"distribution;encodingFormat","downloadencodingFormat","download"
"distribution;contentSize","downloadcontentSize","download"
"isBasedOn;name","softwarename","software"
"isBasedOn;description","softwaredescription","software"
"isBasedOn;applicationCategory","softwarecategory","software"
"isBasedOn;operatingSystem","softwareos","software"
"isBasedOn;version","softwareversion","software"
"isBasedOn;url;@value","softwareurl","software"
"isBasedOn;name","depdatasetname","depdataset"
"isBasedOn;description","depdatasetdescription","depdataset"
"isBasedOn;version","depdatasetversion","depdataset"
"isBasedOn;url;@value","depdataseturl","depdataset"
"citation;name","publicationname","publication"
"citation;creator","publicationauthorlist","publication"
"citation;publisher;name","publicationpublishername","publication"
"citation;datePublished;@value","publicationdatePublished","publication"
"citation;sameAs;@value","publicationsameAs","publication"
"citation;publisher;url;@value","publicationpublisherurl","publication"
